name,short_card_name,trademark_card_name,category,issuer,processor,toc_link,offer_link,agg_link,balance_transfer_apr_string,balance_transfer_apr_value,balance_transfer_apr_number,cash_advance_apr_string,cash_advance_apr_value,cash_advance_apr_number,penalty_apr_string,penalty_apr_value,penalty_apr_number,purchase_apr_string,purchase_apr_value,purchase_apr_number,paying_interest_string,paying_interest_value,minimum_interest_charge_apr_string,minimum_interest_charge_value,minmum_interest_charge_apr_number,annual_fee_string,annual_fee_value,annual_fee_number,balance_transfer_fee_string,balance_transfer_fee_value,balance_transfer_fee_number,cash_advance_fee_string,cash_advance_fee_value,cash_advance_fee_number,foreign_transaction_fee_string,foreign_transaction_fee_value,foreign_transaction_fee_number,late_payment_fee_string,late_payment_fee_value,late_payment_fee_number,returned_payment_fee_string,returned_payment_fee_value,returned_payment_fee_number,returned_check_fee_string,returned_check_fee_value,returned_check_fee_number,over_limit_fee_string,over_limit_fee_value,over_limit_fee_number,pros_string_2018,pros_value_2018,cons_string_2018,cons_value_2018,credit_score_string,credit_score_value,credit_score_low,credit_score_high,bonus_offer_string_2018,bonus_offer_value_2018,offer_details_string,offer_details_value,reward_rate_string_2018,reward_rate_value_2018,intro_apr_check_string,intro_apr_check_value,variable_apr_check_string,variable_apr_check_value,annual_fee_check_string,annual_fee_check_value,our_take_value,pros_value,cons_value,bonus_offer_value,redeem_value,rewards_rate_value
Chase United MileagePlus Club Card,Chase United Card,United MileagePlus® Club Card,"miles, travel",Chase,Visa,https://applynow.chase.com/FlexAppWeb/pricing.do?card=FS6R&page_type=appterms,https://creditcards.chase.com/travel-credit-cards/united-mileageplus-club?,https://www.nerdwallet.com/card-details/card-name/Chase-United-Airlines-Mileage-Plus-Club-Visa,"17.49% to 24.49%, based on your creditworthiness.",17.49% to 24.49%,24.49,26.49%.,26.49%,26.49,,-1,-1,"17.49% to 24.49%, based on your creditworthiness.",17.49% to 24.49%,24.49,Your due date will be a minimum of 21 days after the close of each billing cycle. We will not charge you interest on purchases if you pay your entire balance by the due date each month. We will begin charging interest on balance transfers and cash advances on the transaction date.,21 days,None,$0,0.0,$450,$450,450.0,"Either $5 or 5% of the amount of each transfer, whichever is greater.",5% or $5,5.0,"Either $10 or 5% of the amount of each transaction, whichever is greater.",5% or $10,5.0,None,0%,0.0,Up to $15 if the balance is less than $100; up to $27 if the balance is $100 to less than $250; up to $37 if the balance is $250 or more.,$37,37.0,Up to $37.,$37,37.0,None,$0,0.0,,-1,-1,"High rewards rate
No foreign transaction fee","High rewards rate
No foreign transaction fee",Has annual fee,Has annual fee,recommended credit score690850good - excellent,690 to 850,690,850,"Earn 50,000 bonus miles after you spend $3,000 on purchases in the first 3 months your account is open. (This offer is no longer valid on our site)","Earn 50,000 bonus miles after you spend $3,000 on purchases in the first 3 months your account is open. (This offer is no longer valid on our site)","This offer is no longer valid on our site
50,000 bonus miles after you spend $3,000 on purchases in the first 3 months your account is open.
United Club℠ membership - up to a $550 value per year
Check your first and second bag for free (a savings of up to $240 per roundtrip) when you use your Card to purchase your ticket.
Enjoy Premier Access® travel services to ease your way through the airport with priority check-in, security screening (where available), boarding and baggage handling privileges.
Earn 2 miles per $1 spent on tickets purchased from United.
Earn 1.5 miles per $1 spent on all other purchases.
No foreign transaction fees
$450 annual fee","This offer is no longer valid on our site
50,000 bonus miles after you spend $3,000 on purchases in the first 3 months your account is open.
United Club℠ membership - up to a $550 value per year
Check your first and second bag for free (a savings of up to $240 per roundtrip) when you use your Card to purchase your ticket.
Enjoy Premier Access® travel services to ease your way through the airport with priority check-in, security screening (where available), boarding and baggage handling privileges.
Earn 2 miles per $1 spent on tickets purchased from United.
Earn 1.5 miles per $1 spent on all other purchases.
No foreign transaction fees
$450 annual fee",1.50%,1.50%,N/A,None,"APR: 16.99% - 23.99% Variable APRCash Advance APR: 25.99%, Variable",16.99% to 23.99%,$450 (This offer is no longer valid on our site),$450," solid card if you're a fan of United, though not the best travel credit card. ",High rewards rate; No foreign transaction fee,Has annual fee; High A P R.,$100 statement credit after your first purchase.  UnitedClub membership and two free checked bags. ~$100 statement credit. UnitedClub Membership and 2 free checked bags.~," The primary cardmember can use miles to book any seat, any time â€“ no limitations, restrictions or blackout dates.",A rewards rate value of 1.50%.  Earn 2 miles per $1 spent on tickets purchased from United. Earn 1.5 miles per $1 spent on all other purchases. ~2 miles per dollar on United tickets. 1.5 miles per dollar all others.~
Chevron and Texaco Advantage Visa Card,Chevron Card,Chevron and/or Texaco Techron Advantage™ Visa® Card,"gas, travel",Synchrony Bank,Visa,https://apply.syf.com/cs/groups/public/documents/et_tcdoc/e030542.pdf,https://www.chevrontexacocards.com/dualcardimages/generic/chevron/en/landing_visa.html,,,-1,-1,29.99%,29.99%,29.99,,-1,-1,28.49%,28.49%,28.49,Your due date is at least 23 days after the close of each billing cycle. We will not charge you any interest on purchases if you pay your entire balance by the due date each month.,23 days,"If you are charged interest, the charge will be no less than $1.00.",$1.00,1.0,,-1,-1,,-1,-1,"Either $10 or 5% of the amount of each cash advance, whichever is greater.",5% or $10,5.0,3% of each transaction.,3%,3.0,Up to $38.,$38,38.0,,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,-1,-1,-1,,-1,,-1,,-1,,-1,,-1,,-1,gas specific card that rewards you if you use the card outside of fuel merchants every month.,No annual fee; No foreign transaction fee,No rewards; High A P R.,Earn 15 cents per gallon in fuel credits for first 60 days. ~15 cents per gallon in fuel credits.~,Earn fuel credits on Chevron and Texaco fuel purchases.,Not available.
Citgo Rewards Card,Citgo Rewards Card,Citigo RewardsS® Card,travel,Synchrony Bank,Mastercard,https://www.onlinecreditcenter6.com/consumereApply/Internet/citgo/en/js/TermsConditions.htm,https://www.synchronycredit.com/Citgo/index.html,,,-1,-1,,-1,-1,,-1,-1,,-1,-1,,-1,,-1,-1,,-1,-1,,-1,-1,"FeeEither $10 or 5% of the amount of each cash advance, whichever is greater.",5% or $10,5.0,,-1,-1,Up to $38.,$38,38.0,,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,-1,-1,-1,,-1,,-1,,-1,,-1,,-1,,-1,a gas card that rewards you per gallon instead of dollar spent - it would be simpler to go with other cash back cards.,Earn 10 cents for every gallon for the first 3 months; 5 cents a gallon after that; Qualify with average credit; No annual fee; No foreign transaction fee,No rewards; High A P R.,None.,The Citgo Rewards Card information on redeeming is on their website. Click apply now to go to the site to check it out.,None.
Citi AAdvantage Executive World Elite Mastercard,Citi AAdvantage Card,Citi® / AAdvantage® Executive World Elite™ Mastercard®,"miles, travel",Citi,Mastercard,https://secure.fly.aa.com/citi/direct-exec?anchorLocation=DirectURL&title=citiexecutive,https://secure.fly.aa.com/citi/direct-exec?anchorLocation=DirectURL&title=citiexecutive,https://www.nerdwallet.com/card-details/card-name/Citi-AAdvantage-Executive-World-Elite-MasterCard,"17.74% to 25.74%, based on your credit­worthiness, for transfers completed within 2 months from date of account opening.",17.74% to 25.74%,25.74,26.99%,26.99%,26.99,"Up to 29.99%, based on your credit­worthiness.",29.99%,29.99,"17.74% to 25.74%, based on your credit­worthiness.",17.74% to 25.74%,25.74,Your due date is at least 23 days after the close of each billing cycle. We will not charge you any interest on purchases if you pay your entire balance by the due date each month.,23 days,"If you are charged interest, the charge will be no less than 50 cents.",$0.50,0.5,"$99. However, the annual fee is waived for the first 12 months.",$99,99.0,"Either $5 or 3% of the amount of each transfer, whichever is greater.",3% or $5,3.0,"Either $10 or 5% of the amount of each cash advance, whichever is greater.",5% or $10,5.0,None,0%,0.0,Up to $35,$35,35.0,Up to $35,$35,35.0,,-1,-1,,-1,-1,"Signup benefits
Free checked baggage
Early boarding group
No Foreign Transaction Fees","Signup benefits
Free checked baggage
Early boarding group
No Foreign Transaction Fees","Has annual fee
Needs excellent credit","Has annual fee
Needs excellent credit",recommended credit score720850excellent,720 to 850,720,850,"Earn 50,000 American Airlines AAdvantage® bonus miles after spending $5,000 in purchases within the first 3 months of account opening*","Earn 50,000 American Airlines AAdvantage® bonus miles after spending $5,000 in purchases within the first 3 months of account opening","Earn 50,000 American Airlines AAdvantage® bonus miles after spending $5,000 in purchases within the first 3 months of account opening*
Admirals Club® membership for you and guests with you*
Complimentary Admirals Club® lounge access for authorized users
Earn 10,000 AAdvantage® Elite Qualifying Miles (EQMs) after you spend $40,000 in purchases within the year*
No Foreign Transaction Fees on purchases*
Earn 2 AAdvantage® miles for every $1 spent on eligible American Airlines purchases and 1 AAdvantage® mile for every $1 spent on other purchases*
First checked bag is free on domestic American Airlines itineraries for you and up to eight companions traveling with you on the same reservation*","Earn 50,000 American Airlines AAdvantage® bonus miles after spending $5,000 in purchases within the first 3 months of account opening*
Admirals Club® membership for you and guests with you*
Complimentary Admirals Club® lounge access for authorized users
Earn 10,000 AAdvantage® Elite Qualifying Miles (EQMs) after you spend $40,000 in purchases within the year*
No Foreign Transaction Fees on purchases*
Earn 2 AAdvantage® miles for every $1 spent on eligible American Airlines purchases and 1 AAdvantage® mile for every $1 spent on other purchases*
First checked bag is free on domestic American Airlines itineraries for you and up to eight companions traveling with you on the same reservation*",1 mile per dollar,1 mile per dollar,N/A,None,"APR: 17.49% - 25.49% Variable APRPenalty APR: Up to 29.99%, VariableCash Advance APR: 26.99%, Variable",17.49% to 25.49%,$450,$450,enjoy full benefits of an Admirals ClubÂ® membership if you're loyal to American Airlines.,Signup benefits; Free checked baggage; Early boarding group; No Foreign Transaction Fees,Has annual fee; Needs excellent credit.," Earn 75,000 American Airlines AAdvantageÂ® bonus miles after spending $7,500 in purchases within the first 3 months of account opening. ~75k miles after spending $7.5k.~",The Citi AAdvantage Executive World Elite Mastercard information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 1 mile per Dollar. ~1 mile per dollar.~
Citi Diamond Preferred Card,Citi Diamond Preferred,Citi® Diamond Preferred® Card – 21 Month Balance Transfer Offer,"balance_transfer, rewards",Citi,Mastercard,https://www.citicards.com/cards/credit/displayterms/flow.action?app=UNSOL&t=t&sc=4DNZ533831A5L20301W&B=M&uc=GZG,https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-diamond-preferred-credit-card,https://www.nerdwallet.com/card-details/card-name/Citibank-Diamond-Preferred,"0% introductory APR for 21 months from date of first transfer when transfers are completed within 4 months from date of account opening.After that, your APR will be 14.74% to 24.74%, based on your creditworthiness.",14.74% to 24.74%,24.74,26.99%,26.99%,26.99,"Up to 29.99%, based on your creditworthiness.",29.99%,29.99,"0% introductory APR for 12 months from date of account opening.After that, your APR will be 14.74% to 24.74%, based on your creditworthiness.",14.74% to 24.74%,24.74,Your due date is at least 23 days after the close of each billing cycle. We will not charge you any interest on purchases if you pay your entire balance by the due date each month.,23 days,"If you are charged interest, the charge will be no less than 50 cents.",$0.50,0.5,None,$0,0.0,"Either $5 or 5% of the amount of each transfer, whichever is greater.•",5% or $5,5.0,"Either $10 or 5% of the amount of each cash advance, whichever is greater.•",5% or $10,5.0,3% of each purchase transaction in US dollars.,3%,3.0,Up to $35•,$35,35.0,Up to $35,$35,35.0,,-1,-1,,-1,-1,"No annual fee
0% on Purchases for 12 months and 0% on Balance Transfers for 21 months","No annual fee
0% on Purchases for 12 months and 0% on Balance Transfers for 21 months",No rewards,No rewards,recommended credit score690850good - excellent,690 to 850,690,850,None,None,"0% Intro APR on balance transfers for 21 months from date of first transfer. All transfers must be completed in first 4 months. After that the variable APR will be 14.74% - 24.74%, based on your creditworthiness*
0% Intro APR on purchases for 12 months from date of account opening. After that the variable APR will be 14.74% - 24.74%, based on your creditworthiness*
If you transfer a balance with this offer, after your 0% Intro purchase APR expires, both new purchases and unpaid purchase balances will automatically accrue interest until all balances, including your transferred balance, are paid in full
There is a balance transfer fee of either $5 or 5% of the amount of each transfer, whichever is greater
$0 liability on unauthorized purchases and Citi® Identity Theft Solutions
No annual fee*
Free access to FICO® Scores*","0% Intro APR on balance transfers for 21 months from date of first transfer. All transfers must be completed in first 4 months. After that the variable APR will be 14.74% - 24.74%, based on your creditworthiness*
0% Intro APR on purchases for 12 months from date of account opening. After that the variable APR will be 14.74% - 24.74%, based on your creditworthiness*
If you transfer a balance with this offer, after your 0% Intro purchase APR expires, both new purchases and unpaid purchase balances will automatically accrue interest until all balances, including your transferred balance, are paid in full
There is a balance transfer fee of either $5 or 5% of the amount of each transfer, whichever is greater
$0 liability on unauthorized purchases and Citi® Identity Theft Solutions
No annual fee*
Free access to FICO® Scores*",N/A,N/A,0% on Purchases for 12 months and 0% on Balance Transfers for 21 months,0% for 12 months,"APR: 14.74% - 24.74% Variable APRPenalty APR: Up to 29.99%, VariableCash Advance APR: 26.99%, Variable",14.74% to 24.74%,$0,$0,fair card for those looking for a zero interest card for almost 2 years.,No annual fee; 0% on Purchases and Balance Transfers for 21 months,No rewards.," Get 0% Intro A P R on Balance Transfers and Purchases for 21 months. After that, the variable A P R will be 13.49%-23.49% based upon your creditworthiness. ~None.~",The Citi Diamond Preferred Card information on redeeming is on their website. Click apply now to go to the site to check it out.,None.
Citi Double Cash Card,Citi Double Cash,Citi® Double Cash Card – 18 month BT offer,"cash_back, rewards, starter",Citi,Mastercard,https://www.citicards.com/cards/credit/displayterms/flow.action?app=UNSOL&t=t&sc=4T5ZMEH831A5L10303W&B=M&uc=H28,https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-double-cash-credit-card,https://www.nerdwallet.com/card-details/card-name/Citibank-Double-Cash-Card,"15.24% to 25.24%, based on your creditworthiness, for transfers completed within 2 months from date of account opening.",15.24% to 25.24%,25.24,26.99%,26.99%,26.99,"Up to 29.99%, based on your creditworthiness.",29.99%,29.99,"15.24% to 25.24%, based on your creditworthiness.",15.24% to 25.24%,25.24,Your due date is at least 23 days after the close of each billing cycle. We will not charge you any interest on purchases if you pay your entire balance by the due date each month.,23 days,"If you are charged interest, the charge will be no less than 50 cents.",$0.50,0.5,None,$0,0.0,"Either $5 or 3% of the amount of each transfer, whichever is greater.•",3% or $5,3.0,"Either $10 or 5% of the amount of each cash advance, whichever is greater.•",5% or $10,5.0,3% of each purchase transaction in U.S. dollars.,3%,3.0,None for the first late payment; up to $35 after that.•,$0,0.0,Up to $35,$35,35.0,,-1,-1,,-1,-1,"High rewards rate
No annual fee
0% APR period on balance transfers","High rewards rate
No annual fee
0% APR period on balance transfers","No sign-up bonus
No 0% APR for purchases
$25 minimum redemption","No sign-up bonus
No 0% APR for purchases
$25 minimum redemption",recommended credit score690850good - excellent,690 to 850,690,850,None,None,"Earn 2% cash back on purchases: 1% when you buy plus 1% as you pay
Balance Transfers do not earn cash back
0% Intro APR on Balance Transfers for 18 months. After that, the variable APR will be 15.24% - 25.24% based on your creditworthiness*
Click 'Apply Now' to see the applicable balance transfer fee and how making a balance transfer impacts interest on purchases
No categories to track, no caps on cash back, no annual fee*","Earn 2% cash back on purchases: 1% when you buy plus 1% as you pay
Balance Transfers do not earn cash back
0% Intro APR on Balance Transfers for 18 months. After that, the variable APR will be 15.24% - 25.24% based on your creditworthiness*
Click 'Apply Now' to see the applicable balance transfer fee and how making a balance transfer impacts interest on purchases
No categories to track, no caps on cash back, no annual fee*",2.00%,2.00%,0% on Balance Transfers for 18 months,0% for 18 months,"APR: 15.24% - 25.24% Variable APRPenalty APR: Up to 29.99%, VariableCash Advance APR: 26.99%, Variable",15.24% to 25.24%,$0,$0,okay card for balance transfers.,High rewards rate; No annual fee; 0% on Balance Transfers for 18 months; cash back for immediate and long-term purchases,High variable A P R.,Earn cash back twice on every purchase.,The Citi Double Cash Card information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 1.0%. ~1.00%~
Citi Prestige,Citi Prestige,Citi Prestige® Card,travel,Citi,Mastercard,https://www.citicards.com/cards/credit/displayterms/flow.action?app=UNSOL&t=t&sc=4KMA19C7X1A5L10303W&B=C&uc=GKR,https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-prestige-card,https://www.nerdwallet.com/card-details/card-name/Citibank-ThankYou-Prestige,"17.49% to 25.49%, based on your creditworthiness, for transfers completed within 2 months from date of account opening.",17.49% to 25.49%,25.49,26.99%,26.99%,26.99,"Up to 29.99%, based on your creditworthiness.",29.99%,29.99,"17.49% to 25.49%, based on your creditworthiness.",17.49% to 25.49%,25.49,Your due date is at least 23 days after the close of each billing cycle. We will not charge you any interest on purchases if you pay your entire balance by the due date each month.,23 days,"If you are charged interest, the charge will be no less than 50 cents.",$0.50,0.5,$450 for the primary cardmember.$50 for each authorized user.,$50,50.0,"Either $5 or 3% of the amount of each transfer, whichever is greater.•",3% or $5,3.0,"Either $10 or 5% of the amount of each cash advance, whichever is greater.•",5% or $10,5.0,None,0%,0.0,Up to $35•,$35,35.0,Up to $35,$35,35.0,,-1,-1,,-1,-1,No foreign transaction fee,No foreign transaction fee,"Has annual fee
Needs excellent credit","Has annual fee
Needs excellent credit",recommended credit score720850excellent,720 to 850,720,850,"Earn 40,000 bonus points after spending $4,000 in purchases within the first 3 months of account opening* (This offer is no longer valid on our site)","Earn 40,000 bonus points after spending $4,000 in purchases within the first 3 months of account opening* (This offer is no longer valid on our site)","Earn 40,000 bonus points after spending $4,000 in purchases within the first 3 months of account opening* (This offer is no longer available on our site)
40,000 ThankYou® Points are redeemable for $500 in airfare on any airline, anytime with no blackout dates or $400 in gift cards
$250 Air Travel Credit each year, and receive a statement credit, up to $100 every 5 years, as reimbursement for your application fee for Global Entry or TSA PreCheck
4th night hotel benefit for any hotel stay at hotels booked through the Citi Prestige® Concierge
Transfer points to a variety of travel loyalty programs from airlines to hotels
Earn 3X Points on Air Travel & Hotels
Earn 2X Points on Dining Out & Entertainment
Earn 1X Points on All Other Purchases","Earn 40,000 bonus points after spending $4,000 in purchases within the first 3 months of account opening* (This offer is no longer available on our site)
40,000 ThankYou® Points are redeemable for $500 in airfare on any airline, anytime with no blackout dates or $400 in gift cards
$250 Air Travel Credit each year, and receive a statement credit, up to $100 every 5 years, as reimbursement for your application fee for Global Entry or TSA PreCheck
4th night hotel benefit for any hotel stay at hotels booked through the Citi Prestige® Concierge
Transfer points to a variety of travel loyalty programs from airlines to hotels
Earn 3X Points on Air Travel & Hotels
Earn 2X Points on Dining Out & Entertainment
Earn 1X Points on All Other Purchases",1 point per Dollar,1 point per Dollar,N/A,None,"APR: 16.74% - 24.74% Variable APRPenalty APR: Up to 29.99%, VariableCash Advance APR: 26.24%, Variable",16.74% to 24.74%,$450,$450,a premium travel rewards credit card designed for travelers.," No foreign transaction fee; annual $250 air travel credit; complimentary access to more than 1,000 airport lounges worldwide; complimentary 4th night with any hotel stay",Has annual fee; Needs excellent credit.," Earn 40,000 bonus points after spending $4,000 in purchases within the first 3 months of account opening. ~40k points after spending $4k.~",The Citi Prestige information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 1 point per Dollar. ~1 point per dollar.~
Citi Secured Mastercard,Citi Secured Mastercard,Citi® Secured Mastercard®,secured,Citi,Mastercard,https://www.citicards.com/cards/credit/displayterms/flow.action?app=UNSOL&sc=1P5ZA2U821B5L10302W&B=M,https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-secured-credit-card,https://www.nerdwallet.com/card-details/card-name/Citi-Secured,24.24% for transfers completed within 2 months from date of account opening.,24.24%,24.24,26.99%,26.99%,26.99,"Up to 29.99%, based on your creditworthiness.",29.99%,29.99,24.24%.,24.24%,24.24,Your due date is at least 23 days after the close of each billing cycle. We will not charge you any interest on purchases if you pay your entire balance by the due date each month.,23 days,"If you are charged interest, the charge will be no less than 50 cents.",$0.50,0.5,None,$0,0.0,"Either $5 or 3% of the amount of each transfer, whichever is greater.•",3% or $5,3.0,"Either $10 or 5% of the amount of each cash advance, whichever is greater.•",5% or $10,5.0,3% of each purchase transaction in US dollars.,3%,3.0,Up to $35•,$35,35.0,Up to $35,$35,35.0,,-1,-1,,-1,-1,Qualify with limited / no credit,Qualify with limited / no credit,"No rewards
High APR","No rewards
High APR",recommended credit score690719good,690 to 719,690,719,None,None,"No Annual Fee, and unlike a prepaid card, it helps build credit history with monthly notifications to the credit bureaus
A security deposit is required for this product (minimum $200)
Pay your bill on time every month to avoid damaging your credit. Citi can help keep you on track with Auto Pay, online Bill Pay and alerts.
Use the card anywhere Mastercard® is accepted — worldwide","No Annual Fee, and unlike a prepaid card, it helps build credit history with monthly notifications to the credit bureaus
A security deposit is required for this product (minimum $200)
Pay your bill on time every month to avoid damaging your credit. Citi can help keep you on track with Auto Pay, online Bill Pay and alerts.
Use the card anywhere Mastercard® is accepted — worldwide",N/A,N/A,N/A,None,"APR: 24.24% Variable APRPenalty APR: Up to 29.99%, VariableCash Advance APR: 26.99%, Variable",24.24%,$0,$0,probably the worst secured card - you can do better.," Qualify with limited / no credit, no annual fee",No rewards; High A P R.,None.,The Citi Secured Mastercard information on redeeming is on their website. Click apply now to go to the site to check it out.,None.
Citi Simplicity Card - No Late Fees Ever,Citi Simplicity Card,Citi Simplicity® Card - No Late Fees Ever,"balance_transfer, low_interest",Citi,Mastercard,https://www.citicards.com/cards/credit/displayterms/flow.action?app=UNSOL&t=t&sc=4DPZWC5831D5L20301W&B=M&uc=GZK,https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-simplicity-credit-card,https://www.nerdwallet.com/card-details/card-name/Citibank-Simplicity,"0% introductory APR for 18 months from date of first transfer when transfers are completed within 4 months from date of account opening.After that, your APR will be 15.74% to 25.74%, based on your creditworthiness.",15.74% to 25.74%,25.74,"15.74% to 25.74%, based on your creditworthiness.",15.74% to 25.74%,25.74,,-1,-1,"0% introductory APR for 18 months from date of account opening.After that, your APR will be 15.74% to 25.74%, based on your creditworthiness.",15.74% to 25.74%,25.74,Your due date is at least 23 days after the close of each billing cycle. We will not charge you any interest on purchases if you pay your entire balance by the due date each month.,23 days,"If you are charged interest, the charge will be no less than 50 cents.",$0.50,0.5,None,$0,0.0,"Either $5 or 5% of the amount of each transfer, whichever is greater.•",5% or $5,5.0,"Either $10 or 5% of the amount of each cash advance, whichever is greater.•",5% or $10,5.0,3% of each purchase transaction in US dollars.,3%,3.0,,-1,-1,Up to $35,$35,35.0,,-1,-1,,-1,-1,"No late fee
No annual fee
0% on Purchases and Balance Transfers for 18 months","No late fee
No annual fee
0% on Purchases and Balance Transfers for 18 months",No rewards,No rewards,recommended credit score690850good - excellent,690 to 850,690,850,None,None,"The ONLY card with No Late Fees, No Penalty Rate, and No Annual Fee…EVER
0% Intro APR on Balance Transfers and Purchases for 18 months. After that, the variable APR will be 15.74% - 25.74% based on your creditworthiness*
There is a balance transfer fee of either $5 or 5% of the amount of each transfer, whichever is greater
The same great rate for all balances, after the introductory period
Save time when you call with fast, personal help, 24 hours a day – just say “representative”
Enjoy the convenience of setting up your own bill payment schedule on any available due date throughout the month","The ONLY card with No Late Fees, No Penalty Rate, and No Annual Fee…EVER
0% Intro APR on Balance Transfers and Purchases for 18 months. After that, the variable APR will be 15.74% - 25.74% based on your creditworthiness*
There is a balance transfer fee of either $5 or 5% of the amount of each transfer, whichever is greater
The same great rate for all balances, after the introductory period
Save time when you call with fast, personal help, 24 hours a day – just say “representative”
Enjoy the convenience of setting up your own bill payment schedule on any available due date throughout the month",N/A,N/A,0% on Purchases and Balance Transfers for 18 months,0% for 18 months,APR: 15.74% - 25.74% Variable APR,15.74% to 25.74%,$0,$0,decent card for consumers with good credit who value simplicity.,No late fee; No annual fee; 0% on Purchases and Balance Transfers for 21 months,No rewards; Higher regular interest rate; Has foreign transaction fee.,0% on purchases and balance transfers for 21 months. ~0% APR on purchases.~,No rewards to redeem.,None.
Citi ThankYou Preferred Card for College Students,Citi Preferred Student,Citi ThankYou® Preferred Card for College Students,"rewards, student",Citi,Mastercard,https://www.citicards.com/cards/credit/displayterms/flow.action?app=COLLEGE&t=t&sc=4CYCZ5T860ZL111111W&B=C&uc=HEF,https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-thankyou-preferred-credit-cards-for-college-students,https://www.nerdwallet.com/card-details/card-name/Citibank-ThankYou-Preferred-Card-for-College-Students,"16.24% to 26.24%, based on your creditworthiness, for transfers completed within 2 months from date of account opening.",16.24% to 26.24%,26.24,26.99%,26.99%,26.99,"Up to 29.99%, based on your creditworthiness.",29.99%,29.99,"0% introductory APR for 7 months from date of account opening.After that, your APR will be 16.24% to 26.24%, based on your creditworthiness.",16.24% to 26.24%,26.24,Your due date is at least 23 days after the close of each billing cycle. We will not charge you any interest on purchases if you pay your entire balance by the due date each month.,23 days,"If you are charged interest, the charge will be no less than 50 cents.",$0.50,0.5,None,$0,0.0,"Either $5 or 4% of the amount of each transfer, whichever is greater.•",4% or $5,4.0,"Either $10 or 5% of the amount of each cash advance, whichever is greater.•",5% or $10,5.0,3% of each purchase transaction in US dollars.,3%,3.0,Up to $35•,$35,35.0,Up to $35,$35,35.0,,-1,-1,,-1,-1,No annual fee,No annual fee,,None,recommended credit score690719good,690 to 719,690,719,"Earn 2,500 bonus points after spending $500 in purchases within the first 3 months of account opening","Earn 2,500 bonus points after spending $500 in purchases within the first 3 months of account opening","Enjoy 0% Intro APR for 7 months on purchases from date of account opening; after that the variable APR will be 16.24% - 26.24% based upon your creditworthiness*
Earn 2,500 bonus points after spending $500 in purchases within the first 3 months of account opening
2,500 ThankYou® Points are redeemable for $25 in gift cards, electronics and other great rewards when redeemed at thankyou.com
Earn 2X Points on Dining Out & Entertainment
Earn 1X Points on All Other Purchases
No expiration and no limit to the amount of points you can earn with this card
No annual fee*","Enjoy 0% Intro APR for 7 months on purchases from date of account opening; after that the variable APR will be 16.24% - 26.24% based upon your creditworthiness*
Earn 2,500 bonus points after spending $500 in purchases within the first 3 months of account opening
2,500 ThankYou® Points are redeemable for $25 in gift cards, electronics and other great rewards when redeemed at thankyou.com
Earn 2X Points on Dining Out & Entertainment
Earn 1X Points on All Other Purchases
No expiration and no limit to the amount of points you can earn with this card
No annual fee*",1 point per Dollar,1 point per Dollar,0% on Purchases for 7 months,0% for 7 months,"APR: 16.24% - 26.24% Variable APRPenalty APR: Up to 29.99%, VariableCash Advance APR: 26.99%, Variable",16.24% to 26.24%,$0,$0," an OK card for college students, but better ones exist. "," No annual fee, double ThankYou points on restaurant/entertainment purchases",High 3% foreign transaction fee.," Earn 2,500 bonus points after spending $500 in purchases within the first 3 months of account opening. ~2,500 points after spending $500.~",The Citi ThankYou Preferred Card for College Students information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 1 point per Dollar. ~1 point per dollar.~
