name,issuer_name,our_take,pros,cons,bonus_offer,redeem,rewards_rate,offer_link,toc_link,credit_card_terms,fb_horizontal_link,score,problem_resolution,over_limit_fee,penalty_apr,score_response,billing_and_payment_quality,cash_advance_apr,short_name,overall_satisfaction,annual_fee,balance_transfer_fee,credit_score,customer_service,late_payment_fee,minimum_interest_charge_apr,similar_cards,rewards_quality,issuer_phrase,returned_check_fee,foreign_transaction_fee,returned_payment_fee,cash_advance_fee,purchase_apr,image_link,balance_transfer_apr,fb_square_link
BankAmericard Travel Rewards Credit Card,Bank of America, channel your inner Shakira - this card lets you book hotels whenever and wherever with points that never age. , No annual fee and no foreign transaction fees; Generous flat rewards rate on all purchases; Flexibility to book travel how you want; Rewards accelerator if you bank with Bank of America or Merrill Lynch," More restrictive than a straight cash back card; If you're a big spender with excellent credit and willing to pay an annual fee, there are cards with higher rewards."," 20,000 online bonus points if you make at least $1,000 in purchases in the first 90 days ; that can be a $200 statement credit toward travel purchases. ~20k online points worth $200.~",The BankAmericard Travel Rewards Credit Card information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 1.5 points per dollar. ~1.5 points per dollar.~,https://www.bankofamerica.com/credit-cards/products/bankamericard-travel-rewards-credit-card/,https://www.bankofamerica.com/credit-cards/terms-and-conditions/?campaignid=4016361&productoffercode=AF&locale=en_US&isMobile=true&format=ccr,Good. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/BankAmericard+Travel+Rewards+Credit+Card.jpg,82,Good. ,Bank of America does not disclose the over limit fee for the BankAmericard Travel Rewards Credit Card.,A penalty A P R of 29.99%.,"82 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 18.74% to 25.74%.,BankAmericard Travel ,About average. ,No annual fee.,"A balance transfers fee of either $10 or 3% of the amount of each transaction, whichever is greater.",A recommended credit score range of 690 to 850.,About average. ,A late payment fee of $38.,A minimum interest charge of $1.50.,"[{'S': 'Discover it Miles'}, {'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Chase Sapphire Preferred Card'}]",About average. ,Bank of America issues BankAmericard Travel Rewards Credit Card,Bank of America does not disclose the returned check fee for the BankAmericard Travel Rewards Credit Card.,No foreign transaction fee.,A returned payment fee of up to $27.,"A cash advances fee of either $10 or 5% of the amount of each transaction, whichever is greater.","A purchase A P R of 0% for the first 12 Statement Closing Dates. After that, 15.74% to 23.74%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/BankAmericard+Travel+Rewards+Credit+Card.jpg,A balance transfer A P R of 15.74% to 23.74%.,
Barclay Choice Privileges Visa Signature Card,Barclaycard, great card for Choice hotels and solid rewards points for any Visa purchase. , High rewards rate; No annual fee; 0% on balance transfers for 15 months (must be completed within first forty-five days of account opening), Needs excellent credit; Limited to Choice hotels.," Earn 8,000 anniversary bonus points every year you spend $10,000 or more on purchases with your card by your account anniversary date. ~8k points every year you spend $10k.~", Redemptions for free nights at Choice Hotels or digital gift cards from over 80 of your favorite restaurants and retailors..,A rewards rate value of 1.60%.   15 points per $1 spent at eligible Choice PrivilegesÂ® locations with your Choice Privileges Visa Signature Card and Choice Privileges membership.  2 points per eligible $1 spent on everyday purchases everywhere Visa is accepted.. ~15 points per dollar at Choice Privilege locations. 2 points per dollar all others.~,https://home.barclaycardus.com/cards/choice-privileges-visa-signature-card.html,https://www.barclaycardus.com/applycontent/TnCs.jsp?tc34016,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclay+Choice+Privileges+Visa+Signature+Card.jpg,75,Below average. ,Barclaycard does not disclose the over limit fee for the Barclay Choice Privileges Visa Signature Card.,Barclaycard does not disclose the penalty A P R for the Barclay Choice Privileges Visa Signature Card.,"75 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 26.24%.,Barclay Choice Card,About average. ,No annual fee.,"A balance transfers fee of either $5 or 3% of the amount of each transfer, whichever is greater.",A recommended credit score range of 720 to 850.,About average. ,"A late payment fee of $37(the amount of the fee varies by state, see below).",No minimum interest charge.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Discover it Miles'}, {'S': 'IHG Rewards Club Select Credit Card'}]",About average. ,Barclaycard issues Barclay Choice Privileges Visa Signature Card,Barclaycard does not disclose the returned check fee for the Barclay Choice Privileges Visa Signature Card.,A foreign transaction fee of 3%.,"A returned payment fee of up to $37(the amount of the fee varies by state, see below).","A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.","A purchase A P R of 16.24%,20.99% or 25.99%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclay+Choice+Privileges+Visa+Signature+Card.jpg,"A balance transfer A P R of 0% for the firstfifteenbilling cycles following each balance transfer that posts to your account within 45 days of account opening. After that, 45 days of account opening) your A P R will be 16.24%,20.99%, or 25.99%.",
Barclay Wyndham Rewards Visa Card,Barclaycard," an ok travel card, decent for Wyndham and travel and groceries. ", High rewards rate; Decent bonus, Needs excellent credit; Won't get rewards at Walmart or Target; Limited to Wyndham.," Earn 30,000 bonus points after your first purchase. Plus, earn an additional 15,000 bonus points after you spend $1,000 on purchases within the first 90 days of account opening. ~30k points after first purchase. 15k more points after spending $1k.~"," Redeem points for a free night stay.  15,000 points is enough for a free night at participating hotels!.","A rewards rate value of 3 points per $1 spent on eligible purchases for every participating hotel stay at a Wyndham Vacation Rental North America properties, and on-property spend and maintenance fees at Wyndham timeshare properties.  Earn 2 points per $1 spent on eligible gas, utility and grocery store purchases, but excluding TargetÂ® and WalmartÂ®. ~3 points per dollar on select hotel purchases. 2 points per dollar on gas, utility, and groceries.~",https://home.barclaycardus.com/cards/wyndham-rewards-visa-card.html,https://www.barclaycardus.com/applycontent/TnCs.jsp?tc34714,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclay+Wyndham+Rewards+Visa+Card.jpg,75,Below average. ,Barclaycard does not disclose the over limit fee for the Barclay Wyndham Rewards Visa Card.,Barclaycard does not disclose the penalty A P R for the Barclay Wyndham Rewards Visa Card.,"75 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 26.24%.,Barclay Wyndham Card,About average. ,No annual fee.,"A balance transfers fee of either $5 or 3% of the amount of each transfer, whichever is greater.",A recommended credit score range of 720 to 850.,About average. ,"A late payment fee of $37 (the amount of the fee varies by state, see below).",No minimum interest charge.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Discover it Miles'}, {'S': 'IHG Rewards Club Select Credit Card'}]",About average. ,Barclaycard issues Barclay Wyndham Rewards Visa Card,Barclaycard does not disclose the returned check fee for the Barclay Wyndham Rewards Visa Card.,A foreign transaction fee of 0%.,"A returned payment fee of up to $37 (the amount of the fee varies by state, see below).","A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.","A purchase A P R of 16.24%, 20.99% or 25.99%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclay+Wyndham+Rewards+Visa+Card.jpg,"A balance transfer A P R of 0% for the first fifteen billing cycles following each balance transfer that posts to your account within 45 days of account opening. After that, your A P R will be 16.24%, 20.99% or 25.99%.",
Barclaycard Arrival Plus World Elite MasterCard,Barclaycard, an average travel card with a decent bonus offer and balance transfer option. , High rewards rate; 0% on Balance Transfers for 12 months (on balance transfers made within 45 days of account opening); No foreign transaction fee; Great bonus offer, Has annual fee; Needs excellent credit; Only makes sense if you travel a lot.," Earn 50,000 bonus miles after you spend $3,000 on purchases in the first 90 days; that's enough to redeem for a $500 travel statement credit. ~50k miles worth $500.~"," You can redeem your miles for travel and cash back statement credits, gift cards and merchandise. Travel statement credit redemptions start at 10,000 miles for $100 toward a qualifying travel purchase of $100 or more made within the last 120 days. Cash back statement credit and gift card redemptions start at 5,000 miles for $25. Merchandise redemption values vary based on what you are redeeming for..",A rewards rate value of 2 miles. ~2 miles.~,https://home.barclaycardus.com/cards/barclaycard-arrival-plus-world-elite-mastercard.html,https://www.barclaycardus.com/applycontent/TnCs.jsp?tc34534,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclaycard+Arrival+Plus+World+Elite+MasterCard.jpg,75,Below average. ,Barclaycard does not disclose the over limit fee for the Barclaycard Arrival Plus World Elite MasterCard.,Barclaycard does not disclose the penalty A P R for the Barclaycard Arrival Plus World Elite MasterCard.,"75 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 26.24%.,Barclay World Elite Card,About average. ,An annual fee of $89.,"A balance transfers fee of either $5 or 3% of the amount of each transfer, whichever is greater.",A recommended credit score range of 720 to 850.,About average. ,A late payment fee of $37.,No minimum interest charge.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Gold Delta SkyMiles Credit Card from American Express'}, {'S': 'Discover it Miles'}]",About average. ,Barclaycard issues Barclaycard Arrival Plus World Elite MasterCard,Barclaycard does not disclose the returned check fee for the Barclaycard Arrival Plus World Elite MasterCard.,A foreign transaction fee of 0%.,A returned payment fee of up to $37.,"A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.","A purchase A P R of 16.99%, 20.99% or 23.99%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclaycard+Arrival+Plus+World+Elite+MasterCard.jpg,"A balance transfer A P R of 0% for the first twelve billing cycles following each balance transfer that posts to your account within 45 days of account opening. After that, 45 days of account opening) your A P R will be 16.99%,20.99%, or 23.99%.",
Barclays AAdvantage Aviator Red World Mastercard,Barclaycard," decent bonus for AAdvantage fans, but better travel cards exist. ", No foreign transaction fees, Has annual fee.," Earn 50,000 bonus miles when you make your first purchase in the first 90 days and pay the annual fee. ~50k miles with first purchase.~"," You redeem for American miles via their website, but blackout dates may apply.","A rewards rate value of 1.0%.  Earn 2X miles on eligible  American Airlines purchases, 1X for all else. ~2x miles on American Airlines purchases. 1x on all else.~",https://home.barclaycardus.com/cards/aadvantage-aviator-red-world-elite-mastercard.html,https://www.barclaycardus.com/applycontent/TnCs.jsp?tc35217,About average. ,,77,Below average. ,Barclaycard does not disclose the over limit fee for the Barclays AAdvantage Aviator Red Mastercard.,Barclaycard does not disclose the penalty A P R for the Barclays AAdvantage Aviator Red Mastercard.,"77 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 26.24%.,Barclays AAdvantage Card,About average. ,An annual fee of $95.,"A balance transfers fee of either $5 or 3% of the amount of each transfer, whichever is greater.",A recommended credit score range of 690 to 850.,About average. ,"A late payment fee of $37 (the amount of the fee varies by state, see below).",No minimum interest charge.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Gold Delta SkyMiles Credit Card from American Express'}, {'S': 'Discover it Miles'}]",About average. ,Barclaycard issues Barclays AAdvantage Aviator Red Mastercard,Barclaycard does not disclose the returned check fee for the Barclays AAdvantage Aviator Red Mastercard.,A foreign transaction fee of 0%.,"A returned payment fee of up to $37 (the amount of the fee varies by state, see below).","A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.","A purchase A P R of 16.99%, 20.99% or 25.99%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclays+AAdvantage+Aviator+Red+Mastercard.jpg,"A balance transfer A P R of 0% for the first fifteen billing cycles following each balance transfer that posts to your account within 45 days of account opening. After that, 45 days of account opening) your A P R will be 16.99%, 20.99%, or 25.99%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclays+AAdvantage+Aviator+Red+Mastercard.jpg
Barclays Frontier Airlines World MasterCard,Barclaycard,"I know all about the Barclays Frontier Airlines World MasterCard. It's ok, but ask me for better travel cards. ", 0% on purchases and balance transfers for 15 months, Has annual fee.," Earn 40,000 bonus miles after spending $500 in purchases in the first 90 days of account opening and payment of the annual fee. ~40k miles after spending $500.~"," Roundtrip award travel may be booked once a minimum of twenty thousand (20,000) miles have been earned and deposited into member's EarlyReturnsÂ® account. Award tickets on Frontier flights are subject to availability and capacity controls.",A rewards rate value of 1.00%.  Earn 2 miles for every $1 spent on purchases at FlyFrontier.com.  Earn 1 mile for every $1 spent on all other purchases.  Complimentary online FICOÂ® credit score. ~2 miles per dollar on FlyFrontier.com purchases. 1 mile per dollar all else.~,https://home.barclaycardus.com/cards/frontier-airlines-world-mastercard.html,https://www.barclaycardus.com/applycontent/TnCs.jsp?tc31694,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclays+Frontier+Airlines+World+MasterCard.jpg,64,Below average. ,Barclaycard does not disclose the over limit fee for the Barclays Frontier Airlines World MasterCard.,Barclaycard does not disclose the penalty A P R for the Barclays Frontier Airlines World MasterCard.,"64 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 26.24%.,Barclays Frontier Card,About average. ,An annual fee of $69.,"A balance transfers fee of either $5 or 3% of the amount of each transfer, whichever is greater.",A recommended credit score range of 690 to 850.,About average. ,A late payment fee of $37 (the amount of the fee varies by state).,No minimum interest charge.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Gold Delta SkyMiles Credit Card from American Express'}, {'S': 'Discover it Miles'}]",About average. ,Barclaycard issues Barclays Frontier Airlines World MasterCard,Barclaycard does not disclose the returned check fee for the Barclays Frontier Airlines World MasterCard.,A foreign transaction fee of 3%.,A returned payment fee of up to $37 (the amount of the fee varies by state).,"A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.",A purchase A P R of 16.99% or 25.99%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclays+Frontier+Airlines+World+MasterCard.jpg,"A balance transfer A P R of 0% for the first fifteen billing cycles following each balance transfer that posts to your account within 45 days of account opening. After that, 45 days of account opening) your A P R will be 16.99% or 25.99%.",
Barclays Hawaiian Airlines World Elite MasterCard,Barclaycard," a weak travel card, unless you go to Hawaii a lot. ", Signup benefits; No foreign transaction fee; $100 off a companion ticket once a year; Discounted award flights for cardmembers; Complimentary one free bag checked in, Has annual fee; Needs excellent credit.,"Earn 35,000 bonus HawaiianMiles after you spend $1,000 on purchases in the first 90 days. ~35k HawaiianMiles after spending $1k.~"," To redeem miles for flights on Hawaiian Airlines, Cardmembers should â€˜Sign-inâ€™ to their HawaiianMiles Account at HawaiianAirlines.com.  Hawaiian Airlines won't give out information anywhere else..",A rewards rate value of 1.00%.  Earn 2X miles on eligible purchases made directly from Hawaiian Airlines.  Earn 1X miles on all other purchases. ~2x miles on Hawaiian Airlines purchases. 1x miles on all others.~,https://www.hawaiianairlines.com/hawaiianmiles/credit-card,https://www.barclaycardus.com/applycontent/TnCs.jsp?tc31244,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclays+Hawaiian+Airlines+World+Elite+MasterCard.jpg,74,Below average. ,Barclaycard does not disclose the over limit fee for the Barclays Hawaiian Airlines World Elite MasterCard.,Barclaycard does not disclose the penalty A P R for the Barclays Hawaiian Airlines World Elite MasterCard.,"74 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 26.24%.,Barclays Hawaiian Air Card,About average. ,An annual fee of $89.,"A balance transfers fee of either $5 or 3% of the amount of each transfer, whichever is greater.",A recommended credit score range of 720 to 850.,About average. ,A late payment fee of $37 (the amount of the fee varies by state).,No minimum interest charge.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Gold Delta SkyMiles Credit Card from American Express'}, {'S': 'Discover it Miles'}]",About average. ,Barclaycard issues Barclays Hawaiian Airlines World Elite MasterCard,Barclaycard does not disclose the returned check fee for the Barclays Hawaiian Airlines World Elite MasterCard.,A foreign transaction fee of 0%.,"A returned payment fee of up to $37(the amount of the fee varies by state, see below).","A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.","A purchase A P R of 16.99%, 20.99% or 25.99%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclays+Hawaiian+Airlines+World+Elite+MasterCard.jpg,"A balance transfer A P R of 0% for the first 15 billing cycles following each balance transfer that posts to your account within 45 days of account opening. After that, 45 days of account opening) your A P R will be 16.99%,20.99%, or 25.99%.",
Barclays Lufthansa Miles & More World Elite MasterCard,Barclaycard, a great card for European travel. , 0% on balance transfers for 15 months on balance transfers made within the first 45 days of account opening, Has annual fee.," Earn 35,000 award miles after you spend $1,000 in purchases in the first 90 days. ~35k miles after spending $1k.~"," You can redeem miles for flight awards and upgrades on Lufthansa, Austrian Airlines, Brussels Airlines, SWISS, Star Alliance Airlines and other partners..",A rewards rate value of 1.00%.  Earn 2 award miles per $1 spent on ticket purchases directly from Miles & More integrated airline partners (I don't know who these are though).  Earn 1 award mile per $1 spent on all other purchases everywhere MasterCard is accepted.. ~2 miles per dollar on airline partner purchases. 1 miles per dollar on all others.~,https://home.barclaycardus.com/cards/lufthansa-miles-more-world-elite-mastercard.html,https://www.barclaycardus.com/applycontent/TnCs.jsp?tc35094,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclays+Lufthansa+Miles+&+More+World+Elite+MasterCard.jpg,72,Below average. ,Barclaycard does not disclose the over limit fee for the Barclays Lufthansa Miles & More World Elite MasterCard.,Barclaycard does not disclose the penalty A P R for the Barclays Lufthansa Miles & More World Elite MasterCard.,"72 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 26.24%.,Barclays Lufthansa Card,About average. ,An annual fee of $89.,"A balance transfers fee of either $5 or 3% of the amount of each transfer, whichever is greater.",A recommended credit score range of 690 to 850.,About average. ,A late payment fee of $37.,No minimum interest charge.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Gold Delta SkyMiles Credit Card from American Express'}, {'S': 'Discover it Miles'}]",About average. ,Barclaycard issues Barclays Lufthansa Miles & More World Elite MasterCard,Barclaycard does not disclose the returned check fee for the Barclays Lufthansa Miles & More World Elite MasterCard.,A foreign transaction fee of 0%.,A returned payment fee of up to $37.,"A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.",A purchase A P R of 16.99% or 25.99%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Barclays+Lufthansa+Miles+&+More+World+Elite+MasterCard.jpg,"A balance transfer A P R of 0% for the first fifteen billing cycles following each balance transfer that posts to your account within 45 days of account opening. After that, 16.99% or 25.99%.",
Beneficial State VISA Platinum Credit Card,Beneficial State Bank," decent card with low fees and interest rates, but rewards don't put you in a very beneficial state. ", Good values; lows APR; No annual fee," Cannot apply online, must mail it in; They sometimes stop taking applications.", None.,The Beneficial State VISA Platinum Credit Card information on redeeming is on their website. Click apply now to go to the site to check it out.,None.,https://www.beneficialstatebank.com/personal-visa-platinum-credit-card,https://www.beneficialstatebank.com/ContentDocumentHandler.ashx?documentId=18945,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Beneficial+State+VISA+Platinum+Credit+Card.jpg,75,About average. ,Beneficial State Bank does not disclose the over limit fee for the Beneficial State VISA Platinum Credit Card.,Beneficial State Bank does not disclose the penalty A P R for the Beneficial State VISA Platinum Credit Card.,"75 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 22.24%.,Beneficial State VISA,Good. ,No annual fee.,"A balance transfers fee of 3% or $5, whichever is higher.",A recommended credit score range of 700 to 850.,About average. ,A late payment fee of $38.,Beneficial State Bank does not disclose the minimum interest charge for the Beneficial State VISA Platinum Credit Card.,"[{'S': 'Platinum Card from American Express for Mercedes-Benz'}, {'S': 'Somerset Trust Company MasterCard with ScoreCard Rewards'}, {'S': 'NHL Discover it Card'}]",About average. ,Beneficial State Bank issues Beneficial State VISA Platinum Credit Card,Beneficial State Bank does not disclose the returned check fee for the Beneficial State VISA Platinum Credit Card.,A foreign transaction fee of 1%.,Beneficial State Bank does not disclose the returned payment fee for the Beneficial State VISA Platinum Credit Card.,"A cash advances fee of 3% or $5, whichever is higher.",A purchase A P R of 20.24%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Beneficial+State+VISA+Platinum+Credit+Card.jpg,A balance transfer A P R of 20.24%.,
Berkshire Bank primor Secured Visa Classic,Berkshire Bank," a good card for establishing or re-establishing credit, but has an annual fee. ", Qualify with limited / bad credit; No Credit Check required, Has annual fee; No rewards., None.,The Berkshire Bank primor Secured Visa Classic information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 0.00%. ~None.~,https://www.securedcardchoicenow.com/Blue/ApplyStepOneAlt.aspx,https://www.berkshirebank.com/personal/banking/other-services/credit-card/secured-credit-card,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Berkshire+Bank+primor+Secured+Visa+Classic.jpg,78,About average. ,Berkshire Bank does not disclose the over limit fee for the Berkshire Bank primor Secured Visa Classic.,Berkshire Bank does not disclose the penalty A P R for the Berkshire Bank primor Secured Visa Classic.,"78 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 18.99%.,Berkshire Bank Classic,About average. ,An annual fee of $49.,Berkshire Bank does not disclose the balance transfers fee for the Berkshire Bank primor Secured Visa Classic.,A recommended credit score range of 350 to 629.,About average. ,A late payment fee of $29.,A minimum interest charge of $1.00.,"[{'S': 'Discover It Secured Card'}, {'S': 'Navy Federal nRewards Secured Credit Card'}, {'S': 'Capital One Secured MasterCard'}]",About average. ,Berkshire Bank issues Berkshire Bank primor Secured Visa Classic,Berkshire Bank does not disclose the returned check fee for the Berkshire Bank primor Secured Visa Classic.,A foreign transaction fee of 3%.,A returned payment fee of up to $29.,"A cash advances fee of either $5 or 5% of the amount of each cash advance, whichever is greater.",A purchase A P R of 13.99%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Berkshire+Bank+primor+Secured+Visa+Classic.jpg,Berkshire Bank does not disclose the balance transfer A P R for the Berkshire Bank primor Secured Visa Classic.,
Berkshire Bank primor Secured Visa Gold,Berkshire Bank," solid card for establishing your credit using a small, indie bank. ", Qualify with limited / bad credit; No Credit Check required, Has annual fee; No rewards., None.,The Berkshire Bank primor Secured Visa Gold information on redeeming is on their website. Click apply now to go to the site to check it out.,None.,https://www.securedcardchoicenow.com/GoldVisa/ApplyStepOneAlt.aspx,https://www.berkshirebank.com/personal/banking/other-services/credit-card/secured-credit-card,About average. ,,80,About average. ,Berkshire Bank does not disclose the over limit fee for the Berkshire Bank primor Secured Visa Gold.,Berkshire Bank does not disclose the penalty A P R for the Berkshire Bank primor Secured Visa Gold.,"80 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 18.99%.,Berkshire Bank Gold,About average. ,An annual fee of $49.,Berkshire Bank does not disclose the balance transfers fee for the Berkshire Bank primor Secured Visa Gold.,A recommended credit score range of 350 to 629.,About average. ,A late payment fee of $29.,A minimum interest charge of $1.00.,"[{'S': 'Discover It Secured Card'}, {'S': 'Navy Federal nRewards Secured Credit Card'}, {'S': 'Capital One Secured MasterCard'}]",About average. ,Berkshire Bank issues Berkshire Bank primor Secured Visa Gold,Berkshire Bank does not disclose the returned check fee for the Berkshire Bank primor Secured Visa Gold.,A foreign transaction fee of 3%.,A returned payment fee of up to $29.,"A cash advances fee of either $5 or 5% of the amount of each cash advance, whichever is greater.",A purchase A P R of 9.99% or 13.99%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Berkshire+Bank+primor+Secured+Visa+Gold.jpg,Berkshire Bank does not disclose the balance transfer A P R for the Berkshire Bank primor Secured Visa Gold.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Berkshire+Bank+primor+Secured+Visa+Gold.jpg
Blue Cash Everyday Card from American Express,American Express," the Will Smith of every day cash-back cards - smart, friendly, and effective. "," 3% cash back at U.S. supermarkets, 2% at gas and select department stores, and %1 for everything else", Foreign transaction fees.," $100 statement credit after you spend $1,000 in purchases on your new Card within the first 3 months. Terms Apply. ~$100 statement credit after spending $1k~"," Redemption is really complicated for this program.  To learn more, go to www.membershiprewards.com/pointsinfo..","A rewards rate value of 1.00%.  For each dollar charged on an eligible purchase in each billing period on your Amex EveryDayÂ® Credit Card from American Express, you earn one Membership RewardsÂ® point. You earn: 1 additional point (for a total of 2 points) on the first $6,000 of eligible purchases in a calendar year at supermarkets located in the U.S. (superstores and warehouse clubs are not considered supermarkets). ~1 point per dollar spent. 1 additional point at supermarkets.~",https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/,https://www.americanexpress.com/us/credit-cards/personal-card-application/terms/blue-cash-everyday-credit-card/36508-10-0/?print#FeeTable,Good. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Blue+Cash+Everyday+Card+from+American+Express.jpg,96,Excellent. ,No over limit fee.,A penalty A P R of 29.99%.,"96 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",Excellent at handling billing and accepting payments. ,A cash advance A P R of 26.24%.,Blue Cash Everyday Card,Excellent. ,No annual fee.,"A balance transfers fee of either $5 or 3% of the amount of each transfer, whichever is greater.",A recommended credit score range of 690 to 850.,Excellent. ,A late payment fee of $38.,American Express does not disclose the minimum interest charge for the Blue Cash Everyday Card from American Express.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Discover it - Cashback Match'}, {'S': 'Schwab Investor Card from American Express'}]",Excellent. ,American Express issues Blue Cash Everyday Card from American Express,American Express does not disclose the returned check fee for the Blue Cash Everyday Card from American Express.,A foreign transaction fee of 2.7%.,A returned payment fee of up to $38.,"A cash advances fee of either $5 or 3% of the amount of each cash advance, whichever is greater.","A purchase A P R of 0.0% for the first 12 months. After that, 13.99% to 24.99%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Blue+Cash+Everyday+Card+from+American+Express.jpg,"A balance transfer A P R of 0.0%, for the first 12 months on balance transfers requested within 60 days of account opening. After that, 13.99% to 24.99%.",
